IMFSP2_ItemFamilyGroup,IMITEM_ItemNumber,IMSIZ1_SizeSpec1,IMSIZ2_SizeSpec2,IMSIZ3_SizeSpec3,IMDSC2_Description2,IMWPFT_WeightPerFoot,IOACST_AverageCost,IOQOH_QuantityOnHand,IOQOO_QuantityOnOrder,IOQ_TOTAL_TotalQuantityOnOrder,IMDSC1_Description1,IMWUOM_WeightUnitOfMeasure,IMCSMO_CostingModel
"AQ14.125-14.125 HF 4130 NORM                                          ",50330,14.1250,14.1250,0.0000,"HF 4130 NORM..                ",0.000,0.5499,1186.978,0.000,0.000,"14.125 X 14.125 BLOCK         ",PSI,"STB17                              "
"AQ14.125-14.125 MAC 4130 80KSI NQT                                    ",50666,14.1250,14.1250,0.0000,"HF 4130 80KSI NQT             ",0.000,1.0697,0.000,0.000,0.000,"14.125 X 14.125 BLOCK         ",PSI,"STB18                              "
"AQ15.500-11.750 MAC 4130 NORM                                         ",50823,11.7500,15.5000,0.0000,"MAC 4130 NORM                 ",0.000,0.0000,877.000,0.000,0.000,"11.750 X 15.500 BLOCK         ",PSI,"DEFAULT                            "
"AQ15.500-15.500 HF 4130 NORM                                          ",50331,15.5000,15.5000,0.0000,"HF 4130 NORM                  ",0.000,0.5500,0.000,0.000,0.000,"15.500 X 15.500 BLOCK         ",PSI,"STB17                              "
"AQ16.000-16.000 MAC 4130 75 KSI NQT                                   ",51139,16.0000,16.0000,0.0000,"MAC 4130 75 KSI NQT           ",0.000,0.0000,0.000,0.000,0.000,"16.000 X 16.000 BLOCK         ",PSI,"DEFAULT                            "
"AQ16.000-16.000 MAC 4130 80 KSI NQT                                   ",51213,16.0000,16.0000,0.0000,"4130 80 KSI..                 ",0.000,1.0822,2677.444,0.000,0.000,"16.000 X 16.000 BLOCK         ",PSI,"STB18                              "
"AQ16.250-16.250 HF 4130 NORM                                          ",50332,16.2500,16.2500,0.0000,"HF 4130 NORM..                ",0.000,0.5500,2842.141,0.000,0.000,"16.250 X 16.250 BLOCK         ",PSI,"STB17                              "
"AQ22.000-22.000 MAC4130 80 KSI NQT                                    ",51512,22.0000,22.0000,0.0000,"MAC4130 80 KSI NQT            ",0.000,1.0571,0.000,0.000,0.000,"22.000 X 22.000 BLOCK         ",PSI,"STB18                              "
"AT01.315-00.815 CD 4130 P110 QT                                       ",50398,1.3150,0.8150,0.2500,"CD 4130 P110 QT.              ",2.844,6.2594,0.000,0.000,0.000,"1.315 OD .815 ID .250 WALL    ",PLI,"STB02                              "
"AT01.895-01.311 CD 4130 P110 QT                                       ",50537,1.8950,1.3110,0.2920,"CD 4130 P110 QT               ",4.999,13.2314,0.000,0.000,0.000,"1.895 OD 1.311 ID .292 WALL   ",PLI,"STB02                              "
"AT01.900-01.338 CD 4130 100KSI QT                                     ",52283,1.9000,1.3380,0.2810,"CD 4130 100KSI QT             ",4.859,15.1629,1520.919,0.000,36.933,"1.900 OD 1.338 ID .281 WALL   ",PLI,"DEFAULT                            "
"AT02.000-01.250 CD 4130 P110 QT                                       ",50472,2.0000,1.2500,0.3750,"CD 4130 P110 QT               ",6.508,15.0783,0.000,0.000,0.000,"2.000 OD 1.250 ID .375 WALL   ",PLI,"STB02                              "
"AT02.000-01.374 CD 4130 100KSI QT                                     ",52741,2.0000,1.3740,0.3130,"CD 4130 100KSI QT             ",5.639,0.0000,20.499,0.000,0.000,"2.000 OD 1.374 ID .313 WALL   ",PLI,"DEFAULT                            "
"AT02.000-01.380 CD 4130 P110 QT                                       ",50371,2.0000,1.3800,0.3100,"CD 4130 P110 QT               ",5.595,12.8076,0.000,0.000,0.000,"2.000 OD 1.380 ID .310 WALL   ",PLI,"STB02                              "
"AT02.162-01.450 CD 4130 LN80 QT                                       ",50311,2.1620,1.4500,0.3560,"CD 4130 LN80 QT..             ",6.867,15.9179,5.833,0.000,0.000,"2.162 OD 1.450 ID .356 WALL   ",PLI,"STB01                              "
"AT02.162-01.450 CD 4130 P110 QT                                       ",50754,2.1620,1.4500,0.3560,"CD 4130 P110 QT               ",6.867,0.0000,0.000,0.000,0.000,"2.162 OD 1.450 ID .356 WALL   ",PLI,"STB02                              "
"AT02.250-01.223 CD 4130 P110 QT                                       ",50473,2.2500,1.2230,0.5140,"CD 4130 P110 QT               ",9.523,22.0035,0.000,0.000,0.000,"2.250 OD 1.223 ID .514 WALL   ",PLI,"STB02                              "
"AT02.250-01.223 HF API5CT T95 NQT                                     ",51537,2.2500,1.2230,0.5140,"HF API5CT T95 NQT             ",9.523,0.0000,9.583,0.000,0.000,"2.250 OD 1.223 ID .514 WALL   ",PLI,"DEFAULT                            "
"AT02.250-01.228 CD 4130 P110 QT                                       ",50946,2.2500,1.2280,0.5110,"CD 4130 P110 QT               ",9.491,0.0000,0.000,0.000,0.000,"2.250 OD 1.228 ID .511 WALL   ",PLI,"STB02                              "
"AT02.250-01.265 CD 4140 P110 QT                                       ",50554,2.2500,1.2650,0.4925,"CD 4140 P110 QT               ",9.244,21.3272,0.000,0.000,0.000,"2.250 OD 1.265 ID .493 WALL   ",PLI,"STB13                              "
"AT02.250-01.500 CD 4130 80KSI QT                                      ",52644,2.2500,1.5000,0.3750,"CD 4130 80KSI QT              ",7.509,23.9973,510.491,0.000,670.000,"2.250 OD 1.500 ID .375 WALL   ",PLI,"DEFAULT                            "
"AT02.250-01.500 CD 4140 P110 QT                                       ",50320,2.2500,1.5000,0.3750,"CD 4140 P110 QT               ",7.509,17.3802,0.000,0.000,0.000,"2.250 OD 1.500 ID .375 WALL   ",PLI,"STB13                              "
"AT02.335-01.710 CD 4130 LN80 QT                                       ",50319,2.3350,1.7100,0.3130,"CD 4130 LN80 QT               ",6.750,15.7370,0.000,0.000,0.000,"2.335 OD 1.710 ID .313 WALL   ",PLI,"STB01                              "
"AT02.335-01.710 CD 4130 P110 QT                                       ",50617,2.3350,1.7100,0.3130,"CD 4130 P110 QT..             ",6.750,16.5870,0.000,0.000,0.000,"2.335 OD 1.710 ID .313 WALL   ",PLI,"STB02                              "
"AT02.375-01.249 HF 4130 LN80 QT                                       ",50810,2.3750,1.2490,0.5630,"HF 4130 LN80 QT               ",10.895,11.8283,0.000,0.000,0.000,"2.375 OD 1.249 ID .563 WALL   ",PLI,"DEFAULT                            "
"AT02.375-01.375 HF 4130 L80 QT                                        ",52443,2.3750,1.3750,0.5000,"HF 4130 L80 QT                ",10.013,14.2449,2030.501,0.000,1000.000,"2.375 OD 1.375 ID .500 WALL   ",PLI,"STB01                              "
"AT02.375-01.500 HF 4130 LN80 QT                                       ",50275,2.3750,1.5000,0.4375,"HF 4130 LN80 QT               ",9.053,11.5087,17.167,1110.000,0.000,"2.375 OD 1.500 ID .4375 WALL  ",PLI,"STB01                              "
"AT02.375-01.610 CD 4130 LN80 QT                                       ",51358,2.3750,1.6100,0.3830,"CD 4130 LN80 QT               ",8.140,16.7363,3.667,0.000,0.000,"2.375 OD 1.610 ID .383 WALL   ",PLI,"DEFAULT                            "
"AT02.394-01.687 HF 4130 LN80 QT                                       ",50061,2.3940,1.6870,0.3540,"HF 4130 LN80 QT..             ",7.704,1.0400,28.833,0.000,0.000,"2.394 OD 1.687 ID .354 WALL   ",PLI,"STB01                              "
"AT02.394-01.687 HF 4130 P110 QT                                       ",50062,2.3940,1.6870,0.3540,"HF 4130 P110 QT..             ",7.704,1.0400,1617.500,0.000,0.000,"2.394 OD 1.687 ID .354 WALL   ",PLI,"STB02                              "
"AT02.500-01.000 HF 4130 80KSI NQT                                     ",52695,2.5000,1.0000,0.7500,"HF 4130 80KSI NQT             ",14.018,0.0000,6.917,0.000,0.000,"2.500 OD 1.000 ID .750 WALL   ",PLI,"DEFAULT                            "
"AT02.500-01.530 CD 4130 LN80 QT                                       ",50259,2.5000,1.5300,0.4850,"CD 4130 LN80 QT               ",10.437,21.4026,0.000,0.000,0.000,"2.500 OD 1.530 ID .485 WALL   ",PLI,"STB01                              "
"AT02.500-01.530 CD 4130 P110 QT                                       ",50279,2.5000,1.5300,0.4850,"CD 4130 P110 QT               ",10.437,24.2951,0.000,0.000,0.000,"2.500 OD 1.530 ID .485 WALL   ",PLI,"STB02                              "
"AT02.625-01.338 CD 4130 100KSI QT                                     ",52481,2.6250,1.3380,0.6440,"CD 4130 100KSI QT             ",13.618,44.4221,265.668,0.000,0.000,"2.625 OD 1.338 ID .644 WALL   ",PLI,"DEFAULT                            "
"AT02.625-01.875 HF 4130 100 KSI QT                                    ",52340,2.6250,1.8750,0.3750,"HF 4130 100KSI QT++           ",9.011,12.5049,2047.005,0.000,1576.666,"2.625 OD 1.875 ID .375 WALL   ",PLI,"DEFAULT                            "
"AT02.625-01.875 HF 4130 100KSI QT                                     ",52270,2.6250,1.8750,0.3750,"HF 4130 100KSI QT             ",9.011,11.9378,976.392,4425.500,727.667,"2.625 OD 1.875 ID .375 WALL   ",PLI,"DEFAULT                            "
"AT02.625-01.995 CD 4130 LN80 QT                                       ",50260,2.6250,1.9950,0.3150,"CD 4130 LN80 QT               ",7.771,18.4677,1723.249,0.000,0.000,"2.625 OD 1.995 ID .315 WALL   ",PLI,"STB01                              "
"AT02.710-01.950 CD 4130 LN80 QT                                       ",50261,2.7100,1.9500,0.3800,"CD 4130 LN80 QT               ",9.456,22.9135,0.000,1060.000,0.000,"2.710 OD 1.950 ID .380 WALL   ",PLI,"STB01                              "
"AT02.710-01.950 CD 4130 P110 QT                                       ",50262,2.7100,1.9500,0.3800,"CD 4130 P110 QT               ",9.456,22.8942,19.750,0.000,0.000,"2.710 OD 1.950 ID .380 WALL   ",PLI,"STB02                              "
"AT02.750-01.375 HF 4130M7  NQT 286/327                                ",52524,2.7500,1.3750,0.6870,"HF 4130M7  NQT 286/327        ",15.144,0.0000,0.500,0.000,0.000,"2.750 OD 1.375 ID .687 WALL   ",PLI,"DEFAULT                            "
"AT02.750-01.750 HF 4140 125 KSIQT++                                   ",52102,2.7500,1.7500,0.5000,"HF 4140 125KSI QT++           ",12.015,16.4884,2464.837,0.000,0.000,"2.750 OD 1.750 ID .500 WALL   ",PLI,"STB13                              "
"AT02.750-01.750 HF 4140 125KSI QT                                     ",50451,2.7500,1.7500,0.5000,"HF 4140 125KSI QT             ",12.015,15.6503,143.000,0.000,0.000,"2.750 OD 1.750 ID .500 WALL   ",PLI,"STB13                              "
"AT02.750-02.000 CD 4130 80KSI QT                                      ",52643,2.7500,2.0000,0.3750,"CD 4130 80KSI QT              ",9.512,30.2833,460.499,0.000,525.000,"2.750 OD 2.000 ID .375 WALL   ",PLI,"DEFAULT                            "
"AT02.750-02.000 CD 4140 P110 QT                                       ",50321,2.7500,2.0000,0.3750,"CD 4140 P110 QT               ",9.512,22.1435,0.000,0.000,0.000,"2.750 OD 2.000 ID .375 WALL   ",PLI,"STB13                              "
"AT02.875-01.771 HF 4130 L80 QT                                        ",51433,2.8750,1.7710,0.5520,"HF 4130 L80 QT                ",13.695,18.2110,0.000,0.000,0.000,"2.875 OD 1.771 ID .552 WALL   ",PLI,"STB01                              "
"AT02.875-01.771 HF 4130 L80 QT *MS                                    ",51729,2.8750,1.7710,0.5520,"HF 4130 L80 QT *MS            ",13.695,0.0014,0.000,0.000,0.000,"2.875 OD 1.771 ID .552 WALL   ",PLI,"STB01                              "
"AT02.875-01.771 HF API 5CT P110 NQT                                   ",51880,2.8750,1.7710,0.5520,"HF API 5CT P110 NQT           ",13.695,13.0795,85.333,0.000,0.000,"2.875 OD 1.771 ID .552 WALL   ",PLI,"DEFAULT                            "
"AT02.875-02.323 HF API P110                                           ",52523,2.8750,2.3230,0.2760,"HF API P110                   ",7.661,0.0000,20.333,0.000,0.000,"2.875 OD 2.323 ID .276 WALL   ",PLI,"DEFAULT                            "
"AT02.875-02.375 CD 4130 135KSI QT                                     ",52583,2.8750,2.3750,0.2500,"CD 4130 135KSI QT             ",7.009,23.2125,166.251,0.000,20.167,"2.875 OD 2.375 ID .250 WALL   ",PLI,"DEFAULT                            "
"AT02.875-02.441 CD 4130 P110 QT                                       ",50499,2.8750,2.4410,0.2170,"CD 4130 P110 QT               ",6.160,17.9975,49.916,0.000,0.000,"2.875 OD 2.441 ID .217 WALL   ",PLI,"STB02                              "
"AT02.875-02.441 HF API L80                                            ",52462,2.8750,2.4410,0.2170,"HF API L80                    ",6.160,0.0000,18.167,0.000,0.000,"2.875 OD 2.441 ID .217 WALL   ",PLI,"DEFAULT                            "
"AT02.906-01.815 CD 4130 LN80 QT                                       ",50263,2.9060,1.8150,0.5460,"CD 4130 LN80 QT.              ",13.752,27.2595,157.916,0.000,0.000,"2.906 OD 1.815 ID .546 WALL   ",PLI,"STB01                              "
"AT02.906-01.815 CD 4130 P110 QT                                       ",50264,2.9060,1.8150,0.5460,"CD 4130 P110 QT               ",13.752,30.3753,942.917,0.000,0.000,"2.906 OD 1.815 ID .546 WALL   ",PLI,"STB02                              "
"AT03.000-01.000 HF 4130M7  NQT 217/255                                ",52267,3.0000,1.0000,1.0000,"HF 4130M7  NQT 217/255        ",21.360,0.0000,3.333,0.000,0.000,"3.000 OD 1.000 ID 1.000 WALL  ",PLI,"DEFAULT                            "
"AT03.000-01.250 HF 4130M7 110KSI NQT                                  ",52685,3.0000,1.2500,0.8750,"HF 4130M7 110KSI NQT          ",19.858,0.0000,3.917,0.000,0.000,"3.000 OD 1.250 ID .875 WALL   ",PLI,"DEFAULT                            "
"AT03.000-01.500 HF 4130 80KSI NQT                                     ",52693,3.0000,1.5000,0.7500,"HF 4130 80KSI NQT             ",18.023,0.0000,6.917,0.000,0.000,"3.000 OD 1.500 ID .750 WALL   ",PLI,"DEFAULT                            "
"AT03.000-01.500 HF 4140 LN80 QT                                       ",51129,3.0000,1.5000,0.7500,"HF  4140 LN80 QT.             ",18.023,28.2800,454.166,0.000,0.000,"3.000 OD 1.500 ID .750 WALL   ",PLI,"STB05                              "
"AT03.000-01.750 HF 4140 125KSI ++                                     ",52146,3.0000,1.7500,0.6250,"HF 4140 125KSI ++.            ",15.853,21.7189,1420.250,0.000,0.000,"3.000 OD 1.750 ID .625 WALL   ",PLI,"STB13                              "
"AT03.000-01.750 HF 4140 125KSI QT                                     ",50361,3.0000,1.7500,0.6250,"HF 4140 125KSI QT.            ",15.853,21.7909,54.421,0.000,0.000,"3.000 OD 1.750 ID .625 WALL   ",PLI,"STB13                              "
"AT03.000-01.938 HF 4130 L80 QT                                        ",52313,3.0000,1.9380,0.5310,"HF 4130 L80 QT                ",14.002,0.0000,0.000,0.000,0.000,"3.000 OD 1.938 ID .531 WALL   ",PLI,"DEFAULT                            "
"AT03.063-01.705 CD 4140 125KSI QT                                     ",50452,3.0630,1.7050,0.6790,"CD 4140 125KSI QT..           ",17.288,42.8215,1739.834,0.000,0.000,"3.063 OD 1.705 ID .679 WALL   ",PLI,"STB13                              "
"AT03.063-01.805 CD 4140 125KSI QT                                     ",51837,3.0630,1.8050,0.6290,"CD 4140 125KSI..              ",16.351,39.0682,1882.500,0.000,0.000,"3.063 OD 1.805 ID .629 WALL   ",PLI,"STB13                              "
